ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status
0.07299082285068836,-0.5544873301529852,-0.2348145679300299,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,Y
-0.13441195378345122,-0.03873154846446157,-0.21101723447966456,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Rural,N
-0.3937473372051281,-0.5544873301529852,-0.9487345714409902,0.2732312961117544,Male,Yes,0,Graduate,Yes,1.0,Urban,Y
-0.4620624697931504,0.2519796016915365,-0.3062065682811259,0.2732312961117544,Male,Yes,0,Not Graduate,No,1.0,Urban,Y
0.09772843680942066,-0.5544873301529852,-0.05633456705228982,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,Y
0.0022183113925933404,0.8805997122641535,1.4428974403207269,0.2732312961117544,Male,Yes,2,Graduate,Yes,1.0,Urban,Y
-0.5030187842943628,-0.03599544352181688,-0.6036732364106927,0.2732312961117544,Male,Yes,0,Not Graduate,No,1.0,Urban,Y
-0.38784962791695354,0.30191351689480206,0.1459427672758156,0.2732312961117544,Male,Yes,3+,Graduate,No,0.0,Semiurban,N
-0.22893912765224944,-0.03257531234351103,0.26492943452764234,0.2732312961117544,Male,Yes,2,Graduate,No,1.0,Urban,Y
1.2184570268205968,3.196712546212882,2.4185881117857058,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Semiurban,N
-0.3609822856041582,-0.31507814767157505,-0.9011399045402595,0.2732312961117544,Male,Yes,2,Graduate,No,1.0,Urban,Y
-0.4756599662075529,0.07481680665529297,-0.4370919022581353,0.2732312961117544,Male,Yes,2,Graduate,No,1.0,Urban,Y
-0.38178809337077413,2.2178710029817448,0.6456867697334878,0.2732312961117544,Male,Yes,2,Graduate,No,1.0,Urban,Y
-0.5816549081366906,0.41682992448587897,-0.37759856863222196,0.2732312961117544,Male,No,0,Graduate,No,1.0,Rural,N
-0.6724141010713773,-0.18306108418896885,-1.531769240974941,-3.4548579441686273,Male,Yes,2,Graduate,No,1.0,Urban,Y
-0.07428808409567142,-0.5544873301529852,-0.24671323465521258,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,Y
-0.29610748343423776,-0.5544873301529852,-0.5441799027847793,-1.5908133240284363,Male,No,1,Not Graduate,No,1.0,Urban,Y
-0.31019645562265485,-0.5544873301529852,-0.8297479041891634,0.2732312961117544,Female,No,0,Graduate,No,0.0,Urban,N
-0.08460907534997694,-0.5544873301529852,-0.1515239008537512,0.2732312961117544,Male,Yes,0,Not Graduate,No,1.0,Rural,N
-0.45927744040706797,0.6425585822540657,-0.36569990190703927,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Urban,Y
0.369678365097471,-0.5544873301529852,-0.4965852358840487,0.2732312961117544,Male,Yes,0,Not Graduate,No,0.0,Urban,N
0.09035630019920242,1.3693364576440608,2.0140334431294953,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Urban,Y
-0.45927744040706797,0.09909973802126458,-0.35380123518185663,0.2732312961117544,Male,Yes,0,Not Graduate,No,0.0,Semiurban,N
-0.33395111803335803,0.10115181672824809,-0.4013959020825873,0.2732312961117544,Male,Yes,2,Not Graduate,No,0.0,Rural,N
-0.27628462721565095,0.44590103950147875,0.0626521001995369,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Semiurban,N
0.6809463553066852,-0.5544873301529852,0.5385987692068438,0.2732312961117544,Male,Yes,0,Graduate,Yes,1.0,Semiurban,Y
-0.4266762140641029,0.216068224319325,-0.2824092348307606,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Semiurban,Y
-0.19289757089118253,-0.19879368760917582,-0.42519323553295263,0.2732312961117544,Male,Yes,2,Not Graduate,No,1.0,Urban,Y
-0.6489870891766838,-0.5544873301529852,-1.317593239921653,0.2732312961117544,Male,No,0,Not Graduate,No,1.0,Urban,N
-0.2708783937014909,0.15792599428812537,-0.3062065682811259,0.2732312961117544,Female,No,2,Graduate,No,1.0,Semiurban,Y
-0.2027270863714735,0.5977548638182589,0.6575854364586705,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Urban,N
-0.36638851911831827,-0.5544873301529852,-0.8535452376395288,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,N
-0.11655500066092261,-0.5544873301529852,-0.47278790243368335,0.2732312961117544,Male,No,1,Graduate,Yes,1.0,Rural,N
-0.3118347082027033,0.015648537270601597,-0.37759856863222196,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Semiurban,Y
1.162592613840943,0.4715520233387727,2.0735267767554086,0.2732312961117544,Male,No,3+,Graduate,No,1.0,Rural,N
-0.512520649258644,0.152453784402836,-0.2348145679300299,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Urban,Y
-0.5857505395868119,-0.09960988343830587,-0.5441799027847793,0.2732312961117544,Male,Yes,0,Graduate,No,0.0,Urban,N
-0.28447589011589347,-0.055490191238160284,-0.020638566876741805,0.2732312961117544,Female,Yes,0,Graduate,No,1.0,Semiurban,Y
-0.2027270863714735,1.9114272494055395,0.45530810213056505,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,Y
-0.2712060442175006,0.015990550388432185,-0.42519323553295263,0.2732312961117544,Male,No,0,Not Graduate,No,1.0,Semiurban,Y
-0.2954521824022184,-0.5544873301529852,-0.7821532372884328,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,N
-0.5903376468109477,-0.13962541822448443,-1.174809239219461,0.2732312961117544,Male,No,0,Graduate,No,1.0,Urban,Y
-0.4920424920080379,-0.5544873301529852,-0.8416465709143461,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Urban,Y
-0.23958776942256466,0.24445531309926363,-0.13962523412856853,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Semiurban,Y
-0.11606352488690806,-0.5544873301529852,-0.59177456968551,0.2732312961117544,Male,Yes,0,Not Graduate,Yes,1.0,Urban,Y
-0.3265789814231398,-0.5544873301529852,-0.6869639034869715,0.2732312961117544,Female,No,0,Graduate,No,1.0,Urban,Y
0.04022577124971845,-0.5544873301529852,-1.210505239395009,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Urban,Y
0.06840371562655258,-0.5544873301529852,-0.020638566876741805,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Urban,Y
-0.45190530379684973,0.6220377951842305,-0.3062065682811259,0.2732312961117544,Female,Yes,0,Graduate,No,0.0,Urban,N
-0.22992207920027855,0.22359251291159787,-0.020638566876741805,0.2732312961117544,Female,No,0,Graduate,No,1.0,Semiurban,Y
-0.5693680137863268,0.00778223556049812,-0.5441799027847793,0.2732312961117544,Female,Yes,0,Not Graduate,No,1.0,Semiurban,Y
-0.3796583650167111,-0.5544873301529852,-0.3062065682811259,0.2732312961117544,Female,No,0,Graduate,No,1.0,Semiurban,Y
-0.19224226985916312,-0.5544873301529852,-0.4013959020825873,0.2732312961117544,Female,No,0,Graduate,No,1.0,Semiurban,N
-0.1290057202692912,-0.5544873301529852,-0.13962523412856853,0.2732312961117544,Male,Yes,2,Graduate,No,1.0,Urban,N
0.9987673558360934,-0.5544873301529852,1.6689721080991975,0.2732312961117544,Female,Yes,1,Graduate,Yes,0.0,Urban,N
-0.4415843125425442,-0.1553580216446914,-0.5798759029603274,0.2732312961117544,Male,Yes,2,Graduate,No,1.0,Semiurban,Y
-0.5359476611533376,-0.010344459684522937,-0.59177456968551,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Semiurban,Y
-0.3337872927753532,0.19794152907430393,-0.12772656740338584,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Rural,N
0.4384849734595078,0.21504218496583322,0.4077134352298344,0.2732312961117544,Male,Yes,1,Graduate,No,1.0,Urban,Y
-0.3352617200973968,0.4233281737246601,-0.020638566876741805,0.2732312961117544,Male,Yes,2,Not Graduate,No,1.0,Urban,Y
-0.4756599662075529,0.743794465131919,-0.3062065682811259,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Urban,Y
-0.38899640472298747,-0.5544873301529852,-0.556078569509962,0.2732312961117544,Male,Yes,3+,Graduate,No,1.0,Urban,Y
-0.4578030130850243,0.6251159132447058,0.2292334343520943,-2.5228356340985316,Male,Yes,0,Not Graduate,Yes,0.0,Rural,N
-0.07510721038569566,-0.5544873301529852,-0.1991185677544819,0.2732312961117544,Male,Yes,1,Graduate,No,0.0,Rural,N
-0.2027270863714735,-0.5544873301529852,-0.35380123518185663,0.2732312961117544,Female,No,0,Graduate,No,0.0,Semiurban,N
0.052840316116091864,1.0170629462785572,1.3358094397940827,0.2732312961117544,Male,Yes,0,Graduate,No,1.0,Semiurban,N
-0.3609822856041582,0.21641023743715557,-0.2348145679300299,-2.5228356340985316,Male,No,0,Not Graduate,No,0.0,Urban,N
